train_MulticlassAccuracy,train_MulticlassPrecision,train_MulticlassRecall,epoch,step,test_MulticlassAccuracy,test_MulticlassPrecision,test_MulticlassRecall
0.420634925365448,0.4095238447189331,0.420634925365448,4,49,,,
0.48148149251937866,0.6071428656578064,0.48148149251937866,9,99,,,
0.6129629611968994,0.5972222089767456,0.6129629611968994,13,149,,,
0.6190476417541504,0.6538461446762085,0.6190476417541504,18,199,,,
0.8095238208770752,0.9523810148239136,0.8095238208770752,22,249,,,
0.6000000238418579,0.6547619104385376,0.6000000238418579,27,299,,,
0.7222222089767456,0.9076923131942749,0.7222222089767456,31,349,,,
1.0,1.0,1.0,36,399,,,
1.0,1.0,1.0,40,449,,,
1.0,1.0,1.0,45,499,,,
1.0,1.0,1.0,49,549,,,
,,,50,550,0.47179871797561646,0.4677385985851288,0.47179871797561646
