train_MulticlassAccuracy,train_MulticlassPrecision,train_MulticlassRecall,epoch,step,test_MulticlassAccuracy,test_MulticlassPrecision,test_MulticlassRecall
0.25,0.1484375,0.25,0,49,,,
0.25,0.15625,0.25,0,99,,,
0.28684210777282715,0.2874999940395355,0.28684210777282715,1,149,,,
0.48725491762161255,0.4677083492279053,0.48725491762161255,1,199,,,
0.5115942358970642,0.5020833611488342,0.5115942358970642,2,249,,,
0.3844696879386902,0.45192307233810425,0.3844696879386902,2,299,,,
0.4625000059604645,0.4791666865348816,0.4625000059604645,3,349,,,
0.42058825492858887,0.3946428596973419,0.42058825492858887,3,399,,,
0.5305555462837219,0.488095223903656,0.5305555462837219,4,449,,,
0.6666666865348816,0.7105263471603394,0.6666666865348816,4,499,,,
0.7166666984558105,0.644444465637207,0.7166666984558105,5,549,,,
0.5708333253860474,0.5416666865348816,0.5708333253860474,5,599,,,
0.574999988079071,0.5562865734100342,0.574999988079071,5,649,,,
0.6187499761581421,0.5805555582046509,0.6187499761581421,6,699,,,
0.6043956279754639,0.550595223903656,0.6043956279754639,6,749,,,
0.5972222089767456,0.5818182229995728,0.5972222089767456,7,799,,,
0.58152174949646,0.5069444179534912,0.58152174949646,7,849,,,
0.6788194179534912,0.689338207244873,0.6788194179534912,8,899,,,
1.0,1.0,1.0,8,949,,,
0.9270833134651184,0.8833333253860474,0.9270833134651184,9,999,,,
0.875,0.9451754093170166,0.875,9,1049,,,
0.6944444179534912,0.65625,0.6944444179534912,10,1099,,,
0.9285714626312256,0.8611111044883728,0.9285714626312256,10,1149,,,
0.9736841917037964,0.9166666865348816,0.9736841917037964,11,1199,,,
0.5892857313156128,0.5625,0.5892857313156128,11,1249,,,
0.875,0.949999988079071,0.875,11,1299,,,
0.75,0.75,0.75,12,1349,,,
0.7222222089767456,0.71875,0.7222222089767456,12,1399,,,
0.7083333134651184,0.6875,0.7083333134651184,13,1449,,,
0.75,0.75,0.75,13,1499,,,
0.75,0.75,0.75,14,1549,,,
0.75,0.75,0.75,14,1599,,,
0.9583333134651184,0.96875,0.9583333134651184,15,1649,,,
0.7321428656578064,0.699999988079071,0.7321428656578064,15,1699,,,
