Unnamed: 0,Types,Class
1175,Adrenal_gland,1.0
4029,Adrenal_gland,1.0
6601,Adrenal_gland,0.0
1541,Adrenal_gland,1.0
3999,Adrenal_gland,1.0
6583,Adrenal_gland,0.0
3825,Adrenal_gland,1.0
3724,Adrenal_gland,1.0
1539,Adrenal_gland,1.0
6282,Adrenal_gland,1.0
3988,Adrenal_gland,1.0
1277,Adrenal_gland,0.0
1218,Adrenal_gland,1.0
1203,Adrenal_gland,1.0
4040,Adrenal_gland,1.0
3812,Adrenal_gland,1.0
6599,Adrenal_gland,0.0
1198,Adrenal_gland,1.0
6369,Adrenal_gland,0.0
4003,Adrenal_gland,1.0
4033,Adrenal_gland,1.0
6278,Adrenal_gland,1.0
3715,Adrenal_gland,1.0
6581,Adrenal_gland,1.0
3691,Adrenal_gland,1.0
1278,Adrenal_gland,0.0
3688,Adrenal_gland,1.0
1569,Adrenal_gland,1.0
1179,Adrenal_gland,1.0
6316,Adrenal_gland,1.0
1304,Adrenal_gland,0.0
6290,Adrenal_gland,1.0
1185,Adrenal_gland,1.0
3709,Adrenal_gland,1.0
1211,Adrenal_gland,1.0
6610,Adrenal_gland,0.0
6381,Adrenal_gland,0.0
3989,Adrenal_gland,1.0
4052,Adrenal_gland,0.0
6588,Adrenal_gland,1.0
6365,Adrenal_gland,0.0
4009,Adrenal_gland,0.0
3819,Adrenal_gland,1.0
6447,Bile-duct,1.0
4101,Bile-duct,1.0
6661,Bile-duct,1.0
1374,Bile-duct,1.0
4103,Bile-duct,1.0
6688,Bile-duct,0.0
1601,Bile-duct,0.0
4073,Bile-duct,1.0
6717,Bile-duct,1.0
4060,Bile-duct,0.0
3862,Bile-duct,1.0
1599,Bile-duct,0.0
6457,Bile-duct,1.0
4062,Bile-duct,0.0
1466,Bile-duct,0.0
1452,Bile-duct,1.0
1402,Bile-duct,1.0
6432,Bile-duct,1.0
3943,Bile-duct,1.0
6686,Bile-duct,0.0
1397,Bile-duct,1.0
6721,Bile-duct,0.0
4077,Bile-duct,0.0
4107,Bile-duct,0.0
6453,Bile-duct,1.0
3853,Bile-duct,1.0
6669,Bile-duct,0.0
1639,Bile-duct,1.0
1467,Bile-duct,1.0
1636,Bile-duct,1.0
1629,Bile-duct,0.0
1378,Bile-duct,1.0
1469,Bile-duct,1.0
6494,Bile-duct,1.0
1384,Bile-duct,1.0
1657,Bile-duct,0.0
1410,Bile-duct,1.0
6709,Bile-duct,0.0
6653,Bile-duct,0.0
4063,Bile-duct,0.0
6444,Bile-duct,1.0
6692,Bile-duct,1.0
6770,Bladder,1.0
4132,Bladder,0.0
4128,Bladder,0.0
6752,Bladder,0.0
4124,Bladder,0.0
6753,Bladder,0.0
4139,Bladder,0.0
6787,Bladder,0.0
4157,Bladder,1.0
6769,Bladder,1.0
6735,Bladder,1.0
4119,Bladder,0.0
4136,Bladder,0.0
6734,Bladder,1.0
3053,Breast,1.0
2997,Breast,1.0
2787,Breast,0.0
501,Breast,0.0
898,Breast,1.0
40,Breast,1.0
2697,Breast,1.0
731,Breast,1.0
539,Breast,0.0
3030,Breast,0.0
3168,Breast,1.0
697,Breast,1.0
5480,Breast,1.0
5458,Breast,0.0
3200,Breast,0.0
2974,Breast,1.0
2860,Breast,0.0
372,Breast,1.0
667,Breast,1.0
3260,Breast,0.0
5657,Breast,1.0
357,Breast,1.0
2796,Breast,0.0
1704,Breast,0.0
735,Breast,1.0
3182,Breast,0.0
2864,Breast,0.0
2799,Breast,1.0
470,Breast,1.0
5611,Breast,1.0
6807,Breast,1.0
5795,Breast,0.0
3225,Breast,0.0
4174,Breast,1.0
5343,Breast,0.0
5655,Breast,1.0
4187,Breast,1.0
3157,Breast,1.0
5420,Breast,0.0
5616,Breast,1.0
3254,Breast,1.0
3293,Breast,1.0
4193,Breast,0.0
5525,Breast,1.0
3079,Breast,1.0
3081,Breast,1.0
6010,Breast,1.0
5784,Breast,1.0
3065,Breast,1.0
2714,Breast,0.0
79,Breast,0.0
3001,Breast,1.0
1735,Breast,1.0
5332,Breast,1.0
671,Breast,1.0
5660,Breast,1.0
5492,Breast,0.0
57,Breast,0.0
133,Breast,0.0
2969,Breast,1.0
2762,Breast,1.0
2757,Breast,1.0
1744,Breast,1.0
3261,Breast,1.0
5440,Breast,0.0
4169,Breast,1.0
3043,Breast,1.0
504,Breast,1.0
6814,Breast,0.0
347,Breast,1.0
386,Breast,1.0
2853,Breast,0.0
3213,Breast,1.0
2723,Breast,0.0
2657,Breast,1.0
6018,Breast,1.0
475,Breast,1.0
5286,Breast,0.0
5586,Breast,1.0
5580,Breast,1.0
5556,Breast,1.0
5847,Breast,1.0
652,Breast,1.0
172,Breast,1.0
3303,Breast,1.0
2978,Breast,1.0
38,Breast,0.0
4192,Breast,0.0
713,Breast,1.0
90,Breast,0.0
166,Breast,0.0
3034,Breast,1.0
2704,Breast,0.0
5421,Breast,0.0
5759,Breast,0.0
6017,Breast,1.0
2922,Breast,1.0
2984,Breast,0.0
3153,Breast,0.0
5436,Breast,0.0
3179,Breast,0.0
510,Breast,1.0
5283,Breast,1.0
499,Breast,1.0
5428,Breast,0.0
3217,Breast,1.0
3477,Breast,1.0
5274,Breast,0.0
338,Breast,1.0
6832,Breast,1.0
3017,Breast,1.0
28,Breast,1.0
4178,Breast,0.0
3046,Breast,0.0
5387,Breast,0.0
1715,Breast,1.0
2774,Breast,0.0
5590,Breast,1.0
169,Breast,0.0
5495,Breast,1.0
5279,Breast,1.0
3026,Breast,1.0
4180,Breast,0.0
3082,Breast,1.0
5486,Breast,0.0
2741,Breast,1.0
491,Breast,1.0
2782,Breast,1.0
2926,Breast,1.0
2861,Breast,0.0
587,Breast,1.0
924,Breast,1.0
657,Breast,0.0
234,Breast,1.0
732,Breast,1.0
6835,Breast,1.0
3015,Breast,1.0
2985,Breast,1.0
5651,Breast,1.0
5527,Breast,1.0
5725,Breast,0.0
2763,Breast,1.0
3038,Breast,0.0
2894,Breast,0.0
5319,Breast,1.0
108,Breast,0.0
2891,Breast,0.0
568,Breast,0.0
2996,Breast,1.0
3003,Breast,1.0
5191,Breast,1.0
3439,Breast,1.0
3321,Breast,1.0
2719,Breast,1.0
2776,Breast,0.0
2877,Breast,0.0
5834,Breast,1.0
5451,Breast,1.0
5555,Breast,1.0
2713,Breast,0.0
143,Breast,1.0
6799,Breast,0.0
5662,Breast,1.0
2679,Breast,1.0
5190,Breast,1.0
3236,Breast,1.0
734,Breast,1.0
717,Breast,1.0
454,Breast,1.0
264,Breast,1.0
75,Breast,1.0
3085,Breast,1.0
444,Breast,1.0
395,Breast,0.0
5540,Breast,1.0
176,Breast,0.0
2871,Breast,0.0
5799,Breast,0.0
5490,Breast,0.0
5640,Breast,1.0
5462,Breast,0.0
595,Breast,1.0
61,Breast,0.0
3125,Breast,1.0
5424,Breast,0.0
2701,Breast,0.0
5615,Breast,0.0
216,Breast,0.0
278,Breast,1.0
4186,Breast,1.0
5321,Breast,1.0
3221,Breast,1.0
5406,Breast,0.0
36,Breast,1.0
5793,Breast,1.0
5645,Breast,1.0
662,Breast,1.0
5508,Breast,1.0
5842,Breast,1.0
5553,Breast,1.0
2806,Breast,0.0
4209,Breast,1.0
2951,Breast,1.0
5315,Breast,0.0
897,Breast,0.0
191,Breast,0.0
2748,Breast,0.0
456,Breast,0.0
3246,Breast,0.0
675,Breast,1.0
1681,Breast,0.0
5843,Breast,1.0
5724,Breast,1.0
728,Breast,1.0
5739,Breast,0.0
3228,Breast,0.0
412,Breast,0.0
2927,Breast,0.0
3448,Breast,1.0
5252,Breast,1.0
4162,Breast,0.0
1746,Breast,1.0
5622,Breast,1.0
616,Breast,1.0
114,Breast,1.0
417,Breast,1.0
