N. amostras,Types,AUC,TPR,FPR,Precision,Accuracy,F1-Score
29,Bladder,1.0,1.0,0.24,0.81,0.86,0.9
29,Stomach,0.985,0.94,0.0,1.0,0.97,0.97
470,Breast,0.98,0.96,0.16,0.86,0.91,0.91
35,Prostate,0.962,0.91,0.15,0.86,0.89,0.88
58,Cervix,0.931,0.98,0.29,0.77,0.9,0.86
84,Esophagus,0.911,0.94,0.42,0.69,0.79,0.8
76,HeadNeck,0.91,0.92,0.32,0.74,0.79,0.82
29,Ovarian,0.907,1.0,0.92,0.52,0.62,0.68
36,Lung,0.886,0.97,1.0,0.49,0.94,0.65
39,Testis,0.856,0.86,0.59,0.59,0.67,0.7
37,Uterus,0.85,0.88,0.55,0.62,0.76,0.73
37,Skin,0.832,1.0,0.47,0.68,0.78,0.81
288,Colon,0.824,0.74,0.28,0.73,0.72,0.73
44,Liver,0.816,0.91,0.38,0.71,0.77,0.8
84,Bile-duct,0.798,0.9,0.79,0.53,0.63,0.67
45,Thyroid,0.76,0.8,0.46,0.63,0.6,0.7
39,Pancreatic,0.743,0.77,0.54,0.59,0.56,0.67
26,Kidney,0.688,0.94,0.8,0.54,0.65,0.69
87,Adrenal_gland,0.681,0.96,0.7,0.58,0.71,0.72
