,precision,recall,f1-score,support
Adrenal_gland,0.9666666666666667,1.0,0.983050847457627,87.0
Bile-duct,0.9120879120879121,0.9880952380952381,0.9485714285714287,84.0
Lung,0.9210526315789473,0.9722222222222222,0.9459459459459458,36.0
Ovarian,0.9310344827586207,0.9310344827586207,0.9310344827586207,29.0
Pancreatic,0.9736842105263158,0.9487179487179487,0.9610389610389611,39.0
Prostate,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0
Skin,0.9166666666666666,0.8918918918918919,0.9041095890410958,37.0
Stomach,1.0,1.0,1.0,29.0
Testis,0.9487179487179487,0.9487179487179487,0.9487179487179487,39.0
Thyroid,1.0,0.9333333333333333,0.9655172413793104,45.0
Uterus,0.9705882352941176,0.8918918918918919,0.9295774647887325,37.0
Bladder,1.0,0.8275862068965517,0.9056603773584906,29.0
Breast,0.9873417721518988,0.9957446808510638,0.9915254237288136,470.0
Cervix,0.9649122807017544,0.9482758620689655,0.9565217391304347,58.0
Colon,0.9829351535836177,1.0,0.9913941480206541,288.0
Esophagus,1.0,0.9404761904761905,0.9693251533742331,84.0
HeadNeck,0.9743589743589743,1.0,0.9870129870129869,76.0
Kidney,0.9583333333333334,0.8846153846153846,0.9199999999999999,26.0
Liver,0.9761904761904762,0.9318181818181818,0.9534883720930233,44.0
