"image","xmin","ymin","xmax","ymax","label"
"Drone_031.mp4_t-6",3310.2457239925025,519.4800109863281,3840,1060.919989013672,"stand"
"Drone_031.mp4_t-6",3310.2457239925025,519.4800109863281,3840,1060.919989013672,"block25"
"Drone_031.mp4_t-6",1184.0299906279288,0,1461.8632116916588,352.4399780273438,"walk"
"Drone_031.mp4_t-6",1184.0299906279288,0,1461.8632116916588,352.4399780273438,"block25"
"Drone_031.mp4_t-6",3629.825591611996,1098.3599670410156,3840,1464.120098876953,"sit"
"Drone_031.mp4_t-6",3629.825591611996,1098.3599670410156,3840,1464.120098876953,"block25"
"Drone_031.mp4_t-6.333333",1263.2052483598875,139.3199890136719,1551.1152764761011,709.5599670410156,"walk"
"Drone_031.mp4_t-6.333333",3036.7311972820994,821.8800109863281,3572.2435859887537,1271.1599670410155,"stand"
"Drone_031.mp4_t-6.333333",3307.3664479850045,1325.8800109863282,3724.8359887535144,1697.4000549316406,"sit"
"Drone_031.mp4_t-6.166667",1254.5680793111528,0,1519.4452173149016,548.2800109863282,"walk"
"Drone_031.mp4_t-6.166667",3186.4443240393625,631.7999450683594,3776.6598816776004,1167.4800109863281,"stand"
"Drone_031.mp4_t-6.166667",3448.4426253514525,1236.5999450683594,3840,1596.6000549316407,"sit"
"Drone_031.mp4_t-5.833333",3457.079574742268,363.95996704101566,3840,931.3199890136718,"stand"
"Drone_031.mp4_t-5.833333",3457.079574742268,363.95996704101566,3840,931.3199890136718,"block25"
"Drone_031.mp4_t-5.833333",1176.8322399250235,0,1418.6767074742268,147.95996704101563,"walk"
"Drone_031.mp4_t-5.833333",1176.8322399250235,0,1418.6767074742268,147.95996704101563,"block75"
"Drone_031.mp4_t-5.666667",3606.79314081537,338.03997802734375,3839.9999999999995,741.2400329589843,"stand"
"Drone_031.mp4_t-5.666667",3606.79314081537,338.03997802734375,3839.9999999999995,741.2400329589843,"block50"
"Drone_031.mp4_t-6.5",1260.3261920103093,332.2799560546875,1568.38983423149,827.6400329589844,"walk"
"Drone_031.mp4_t-6.5",2956.1163015463917,945.7199890136719,3402.3768451265228,1395.0000549316408,"stand"
"Drone_031.mp4_t-6.5",3172.048822633552,1423.8000549316407,3566.485473289597,1755.0000549316408,"sit"
"Drone_031.mp4_t-6.666667",1332.303699039363,508.6799560546875,1640.367341260544,1004.0400329589844,"walk"
"Drone_031.mp4_t-6.666667",2858.94666705717,1028.5199890136719,3305.207210637301,1477.8000549316407,"stand"
"Drone_031.mp4_t-6.666667",3038.8904346298036,1499.4000549316409,3433.3270852858486,1830.600054931641,"sit"
"Drone_031.mp4_t-6.833333",1361.0947018509844,703.0799560546876,1669.1583440721654,1198.4400329589844,"walk"
"Drone_031.mp4_t-6.833333",2772.5736586223065,1132.919989013672,3218.8342022024376,1582.2000549316408,"stand"
"Drone_031.mp4_t-6.833333",2938.121924789129,1571.4000549316409,3332.558575445174,1902.600054931641,"sit"
"Drone_031.mp4_t-7",1404.2812060684166,861.4799560546876,1712.3448482895976,1356.8400329589845,"walk"
"Drone_031.mp4_t-7",2722.1894037019692,1299.6000000000001,3087.8350515463917,1629.0000549316412,"stand"
"Drone_031.mp4_t-7",2916.5286726804134,1674,3220.9934395501405,1956.6000549316407,"sit"
"Drone_031.mp4_t-7.166667",1441.7095975866916,1003.319989013672,1729.6196257029053,1420.9200988769533,"walk"
"Drone_031.mp4_t-7.166667",2679.7227184864105,1343.1599670410158,2973.3910789597003,1683.0000549316408,"stand"
"Drone_031.mp4_t-7.166667",2823.6777325445173,1731.9599670410157,3105.8294283036553,2019.9599670410157,"sit"
"Drone_031.mp4_t-7.333333",1484.8961018041236,1173.2400329589843,1761.2896848641049,1524.6000549316407,"walk"
"Drone_031.mp4_t-7.333333",2598.3880037488284,1465.2,2918.687910028116,1731.6000000000001,"stand"
"Drone_031.mp4_t-7.333333",2771.8538396204312,1755.0000549316408,3007.940194470478,2043.0000549316408,"sit"
"Drone_031.mp4_t-7.5",1525.203330014058,1291.3199890136718,1720.9822369962512,1587.9599670410157,"walk"
"Drone_031.mp4_t-7.5",2537.207122774133,1507.3200988769531,2809.282231138707,1807.2,"stand"
"Drone_031.mp4_t-7.5",2685.480831185567,1841.4000549316406,2938.841524133083,2103.480010986328,"sit"
"Drone_031.mp4_t-7.666667",1536.7197750702906,1412.280010986328,1741.1358511012183,1642.6800109863282,"walk"
"Drone_031.mp4_t-7.666667",2486.8228678537957,1559.1599670410158,2743.0628368088096,1861.5599670410159,"stand"
"Drone_031.mp4_t-7.666667",2616.382380506092,1893.2399230957033,2855.347791705717,2138.039923095703,"sit"
"Drone_031.mp4_t-7.833333",1525.203330014058,1469.8800109863282,1824.6298031865042,1780.9200988769533,"walk"
"Drone_031.mp4_t-7.833333",2397.570803069353,1596.6000549316407,2702.7553889409555,1881.7200988769532,"stand"
"Drone_031.mp4_t-7.833333",2530.0093720712275,1930.6800109863282,2789.12839737582,2160,"sit"
"Drone_031.mp4_t-8",1562.6317215323336,1593.7200988769532,1787.201631326148,1821.2399230957033,"walk"
"Drone_031.mp4_t-8",2403.32891576851,1674.3599670410156,2616.382380506092,1924.920098876953,"stand"
"Drone_031.mp4_t-8",2495.46025656045,1985.4000549316406,2708.513721298032,2160,"sit"
"Drone_031.mp4_t-8.166667",1614.4556144564199,1665.7200988769532,1795.8388003748828,1899.0000549316408,"walk"
"Drone_031.mp4_t-8.166667",2328.4723523898783,1726.2000549316406,2599.1078227507032,1979.6399230957031,"stand"
"Drone_031.mp4_t-8.166667",2443.6363636363635,2011.3200988769531,2685.480831185567,2160,"sit"
"Drone_031.mp4_t-8.333333",1600.060113050609,1740.6000549316407,1847.6626932989689,2045.8800109863282,"walk"
"Drone_031.mp4_t-8.333333",2311.197794634489,1783.8000549316407,2547.2839298266167,2022.8399230957032,"stand"
"Drone_031.mp4_t-8.333333",2443.6363636363635,2040.120098876953,2630.7778819119026,2160,"sit"
"Drone_031.mp4_t-8.333333",2443.6363636363635,2040.120098876953,2630.7778819119026,2160,"block50"
"Drone_031.mp4_t-8.5",1614.4556144564199,1818.3599670410156,1870.6953637535146,2077.5599670410156,"walk"
"Drone_031.mp4_t-8.5",2268.0112904170574,1809.7200988769532,2512.734814315839,2031.4800109863281,"stand"
"Drone_031.mp4_t-8.5",2365.900743908154,2063.1599670410155,2610.624267806935,2160,"sit"
"Drone_031.mp4_t-8.5",2365.900743908154,2063.1599670410155,2610.624267806935,2160,"block75"
"Drone_031.mp4_t-8.666667",1657.6421186738519,1896.120098876953,1836.1462482427366,2129.4000549316406,"walk"
"Drone_031.mp4_t-8.666667",2247.85767631209,1870.2000549316406,2434.999194587629,2077.5599670410156,"stand"
"Drone_031.mp4_t-8.833333",1669.158344072165,1959.4800109863281,1864.937251054358,2158.200054931641,"walk"
"Drone_031.mp4_t-8.833333",2190.275670688847,1922.0399230957032,2414.8453608247423,2115.0000549316405,"stand"
"Drone_031.mp4_t-9",1683.5538454779755,1999.8000549316407,1864.9372510543578,2160,"walk"
"Drone_031.mp4_t-9",2181.638281982193,1936.439923095703,2319.8351833411434,2132.2800109863283,"stand"
"Drone_031.mp4_t-9.166667",1723.8612933458294,2051.639923095703,1885.0908651593252,2160,"walk"
"Drone_031.mp4_t-9.166667",1723.8612933458294,2051.639923095703,1885.0908651593252,2160,"block50"
"Drone_031.mp4_t-9.166667",2152.8472791705717,1979.6399230957031,2331.3514087394565,2149.5599670410156,"stand"
"Drone_031.mp4_t-9.333333",2155.72633552015,2031.4800109863281,2291.044180529522,2160,"stand"
"Drone_031.mp4_t-9.5",2138.451777764761,2043.0000549316408,2273.7694031162137,2160,"stand"
"Drone_031.mp4_t-9.666667",2130.534208059981,2080.8,2265.1322340674787,2160,"stand"
"Drone_031.mp4_t-9.666667",2130.534208059981,2080.8,2265.1322340674787,2160,"block25"
"Drone_031.mp4_t-9.833333",2098.144329896907,2091.9599670410157,2236.3412312558576,2160,"stand"
"Drone_031.mp4_t-9.833333",2098.144329896907,2091.9599670410157,2236.3412312558576,2160,"block25"
"Drone_031.mp4_t-10",2098.144329896907,2106.359967041016,2239.2202876054357,2160,"stand"
"Drone_031.mp4_t-10",2098.144329896907,2106.359967041016,2239.2202876054357,2160,"block50"
"Drone_031.mp4_t-10.166667",2095.265273547329,2109.239923095703,2198.912839737582,2160,"stand"
"Drone_031.mp4_t-10.166667",2095.265273547329,2109.239923095703,2198.912839737582,2160,"block75"
"Drone_031.mp4_t-14.5",1850.5417496485472,2051.639923095703,1936.9147580834112,2160,"stand"
"Drone_031.mp4_t-13.333333",1945.5521467900655,2086.200054931641,2066.4742707357077,2160,"stand"
"Drone_031.mp4_t-13.333333",1945.5521467900655,2086.200054931641,2066.4742707357077,2160,"block50"
"Drone_031.mp4_t-13.166667",1985.0112866817158,2109.239923095703,2088.658852871969,2160,"stand"
"Drone_031.mp4_t-13.166667",1985.0112866817158,2109.239923095703,2088.658852871969,2160,"block75"
"Drone_031.mp4_t-13.5",1911.0028116213682,2100.600054931641,2054.957825679475,2160.0000000000005,"stand"
"Drone_031.mp4_t-13.5",1911.0028116213682,2100.600054931641,2054.957825679475,2160.0000000000005,"block25"
"Drone_031.mp4_t-13.666667",1919.6402003280225,2083.320098876953,2029.045879217432,2160,"stand"
"Drone_031.mp4_t-13.666667",1919.6402003280225,2083.320098876953,2029.045879217432,2160,"block25"
"Drone_031.mp4_t-13.833333",1887.970141166823,2057.4000549316406,2008.8922651124649,2160,"stand"
"Drone_031.mp4_t-13.833333",1887.970141166823,2057.4000549316406,2008.8922651124649,2160,"block25"
"Drone_031.mp4_t-14",1893.7282538659795,2091.9599670410157,1985.859375,2160,"stand"
"Drone_031.mp4_t-14.166667",1856.2998623477038,2063.1599670410155,1982.9803186504216,2160,"stand"
"Drone_031.mp4_t-14.333333",1850.5417496485472,2051.639923095703,1945.5521467900655,2160,"stand"
"Drone_031.mp4_t-14.666667",1807.3552454311152,2066.039923095703,1905.2446989222117,2160,"stand"
"Drone_031.mp4_t-14.833333",1787.2016313261481,2068.920098876953,1887.970141166823,2160,"stand"
"Drone_031.mp4_t-15",1758.4106285145267,2060.2800109863283,1867.8163074039362,2160,"stand"
"Drone_031.mp4_t-15.166667",1744.0151271087161,2045.8800109863282,1836.1462482427366,2160,"stand"
"Drone_031.mp4_t-15.333333",1723.8612933458294,2045.8800109863282,1815.9926341377693,2160,"stand"
"Drone_031.mp4_t-15.5",1683.5538454779755,2040.120098876953,1804.4761890815369,2160,"stand"
"Drone_031.mp4_t-15.666667",1680.6747891283974,2063.1599670410155,1801.5971327319587,2160,"stand"
"Drone_031.mp4_t-15.833333",1657.6421186738519,2083.320098876953,1755.531352507029,2160,"stand"
"Drone_031.mp4_t-16",1637.4882849109654,2080.4399230957033,1746.8941834582943,2160,"stand"
"Drone_031.mp4_t-16.166667",1602.9391694001874,2077.5599670410156,1726.7403496954078,2160,"stand"
"Drone_031.mp4_t-16.333333",1582.785335637301,2080.4399230957033,1683.5538454779758,2160,"stand"
"Drone_031.mp4_t-16.333333",1582.785335637301,2080.4399230957033,1683.5538454779758,2160,"block25"
"Drone_031.mp4_t-16.5",1565.510777881912,2074.6800109863284,1660.5211750234303,2160.0000000000005,"stand"
"Drone_031.mp4_t-16.5",1565.510777881912,2074.6800109863284,1660.5211750234303,2160.0000000000005,"block25"
"Drone_031.mp4_t-16.666667",1530.961662371134,2091.9599670410157,1646.1256736176194,2160,"stand"
"Drone_031.mp4_t-16.666667",1530.961662371134,2091.9599670410157,1646.1256736176194,2160,"block25"
"Drone_031.mp4_t-16.833333",1505.049715909091,2097.720098876953,1611.5763384489223,2160,"stand"
"Drone_031.mp4_t-16.833333",1505.049715909091,2097.720098876953,1611.5763384489223,2160,"block50"
"Drone_031.mp4_t-17",1479.1377694470477,2097.720098876953,1594.3017806935331,2160,"stand"
"Drone_031.mp4_t-17",1479.1377694470477,2097.720098876953,1594.3017806935331,2160,"block50"
"Drone_031.mp4_t-17.166667",1464.7422680412371,2103.480010986328,1559.7526651827554,2160,"stand"
"Drone_031.mp4_t-17.166667",1464.7422680412371,2103.480010986328,1559.7526651827554,2160,"block50"
"Drone_031.mp4_t-17.333333",1435.9512652296157,2109.239923095703,1525.203330014058,2160,"stand"
"Drone_031.mp4_t-17.333333",1435.9512652296157,2109.239923095703,1525.203330014058,2160,"block50"
"Drone_031.mp4_t-17.5",1415.7976511246486,2117.880010986328,1505.049715909091,2160,"stand"
"Drone_031.mp4_t-17.5",1415.7976511246486,2117.880010986328,1505.049715909091,2160,"block50"
"Drone_031.mp4_t-17.666667",1384.1275919634488,2109.239923095703,1505.0497159090908,2160,"stand"
"Drone_031.mp4_t-17.666667",1384.1275919634488,2109.239923095703,1505.0497159090908,2160,"block50"
"Drone_031.mp4_t-17.833333",1366.8528145501407,2116.626506024096,1469.2550790067721,2160,"stand"
